day,hour,pm10,pm25
8,0,140.0,40.6
8,3,200.0,48.6
8,6,242.0,64.9
8,9,270.0,70.6
8,12,242.0,64.9
8,15,228.0,50.2
8,18,228.0,50.2
8,21,194.0,48.2
9,0,194.0,47.8
9,3,224.0,49.8
9,6,242.0,64.9
9,9,270.0,70.6
9,12,242.0,64.9
9,15,228.0,50.2
9,18,228.0,50.2
9,21,228.0,50.2
10,0,228.0,50.2
10,3,240.0,64.9
10,6,268.0,70.6
10,9,270.0,70.6
10,12,270.0,70.6
10,15,270.0,70.6
10,18,262.0,68.7
10,21,236.0,59.2
11,0,228.0,50.2
11,3,242.0,64.9
11,6,272.0,87.7
11,9,292.0,97.2
11,12,310.0,150.4
11,15,302.0,148.5
11,18,272.0,87.7
11,21,262.0,68.7
12,0,262.0,66.8
12,3,268.0,70.6
12,6,270.0,70.6
12,9,274.0,95.3
12,12,300.0,99.1
12,15,300.0,99.1
12,18,274.0,95.3
12,21,270.0,70.6
13,0,250.0,66.8
13,3,232.0,51.8
13,6,236.0,57.3
13,9,258.0,59.2
13,12,232.0,57.3
13,15,228.0,51.4
13,18,250.0,66.8
13,21,270.0,70.6
14,0,270.0,70.6
14,3,270.0,70.6
14,6,270.0,70.6
14,9,184.0,64.9
14,12,138.0,35.4
14,15,146.0,45.8
14,18,232.0,55.0
14,21,232.0,55.0
15,0,228.0,50.2
15,3,228.0,50.2
15,6,242.0,64.9
15,9,270.0,70.6
15,12,242.0,64.9
15,15,228.0,50.2
15,18,228.0,50.2
15,21,228.0,50.2
